Terminal;Moega;ID Vagão;Produto;Chegada_Trem;Data/Hora Encoste;Data/Hora Início Descarga;Data/Hora Fim Descarga
DDD;Moega LLL;1576079;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:45;01/02/2022 01:57
DDD;Moega LLL;4023498;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:59;01/02/2022 02:10
DDD;Moega LLL;5983325;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 01:59;01/02/2022 02:10
DDD;Moega LLL;4118874;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:03;01/02/2022 02:09
DDD;Moega LLL;4702717;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:15;01/02/2022 02:24
DDD;Moega LLL;7859062;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:15;01/02/2022 02:24
DDD;Moega LLL;5916368;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:15;01/02/2022 02:24
DDD;Moega LLL;2934735;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:29;01/02/2022 02:38
DDD;Moega LLL;4824896;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:29;01/02/2022 02:38
DDD;Moega LLL;4560699;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:29;01/02/2022 02:42
DDD;Moega LLL;3361224;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:44;01/02/2022 02:57
DDD;Moega LLL;415364;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:44;01/02/2022 02:57
DDD;Moega LLL;5353083;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 02:44;01/02/2022 02:57
DDD;Moega LLL;5311857;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:00;01/02/2022 03:11
DDD;Moega LLL;4958334;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:01;01/02/2022 03:11
DDD;Moega LLL;1031122;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:01;01/02/2022 03:11
DDD;Moega LLL;8065457;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:14;01/02/2022 03:24
DDD;Moega LLL;7353932;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:14;01/02/2022 03:24
DDD;Moega LLL;5406474;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:14;01/02/2022 03:24
DDD;Moega LLL;3362930;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:28;01/02/2022 04:13
DDD;Moega LLL;5164300;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:28;01/02/2022 04:13
DDD;Moega LLL;3355455;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 03:28;01/02/2022 04:13
DDD;Moega LLL;3092310;Soja;31/01/2022 23:00;01/02/2022 00:53;01/02/2022 04:13;01/02/2022 04:25
DDD;Moega LLL;5124129;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 07:29;27/01/2022 07:48
DDD;Moega LLL;5862111;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 07:29;27/01/2022 07:48
DDD;Moega LLL;2192131;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 07:29;27/01/2022 07:48
DDD;Moega LLL;6485088;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 07:48;27/01/2022 08:19
DDD;Moega LLL;6088006;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 07:48;27/01/2022 08:19
DDD;Moega LLL;5189562;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 07:49;27/01/2022 08:19
DDD;Moega LLL;5906037;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 08:24;27/01/2022 09:41
DDD;Moega LLL;3126327;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 08:25;27/01/2022 09:41
DDD;Moega LLL;967273;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 08:25;27/01/2022 09:42
DDD;Moega LLL;5187606;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 09:42;27/01/2022 09:55
DDD;Moega LLL;8080817;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 09:42;27/01/2022 09:55
DDD;Moega LLL;6840959;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 09:42;27/01/2022 09:55
DDD;Moega LLL;2232496;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:10;27/01/2022 10:35
DDD;Moega LLL;7484606;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:10;27/01/2022 10:35
DDD;Moega LLL;8284109;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:10;27/01/2022 10:35
DDD;Moega LLL;593971;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:35;27/01/2022 10:52
DDD;Moega LLL;7152581;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:35;27/01/2022 10:52
DDD;Moega LLL;729878;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:35;27/01/2022 10:52
DDD;Moega LLL;7349819;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:58;27/01/2022 11:10
DDD;Moega LLL;741703;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:58;27/01/2022 11:10
DDD;Moega LLL;3850250;Farelo 48%;27/01/2022 04:29;27/01/2022 06:30;27/01/2022 10:58;27/01/2022 11:10
