Terminal;Data Descarga;Quantidade Vagões
KKK;30/01/2022;24
KKK;31/01/2022;7
ZAA;01/01/2022;32
ZAA;02/01/2022;211
ZAA;03/01/2022;218
ZAA;04/01/2022;189
ZAA;05/01/2022;184
ZAA;06/01/2022;161
ZAA;07/01/2022;357
ZAA;08/01/2022;284
ZAA;09/01/2022;166
ZAA;10/01/2022;220
ZAA;11/01/2022;174
ZAA;12/01/2022;249
ZAA;13/01/2022;186
ZAA;14/01/2022;178
ZAA;15/01/2022;125
ZAA;16/01/2022;48
ZAA;17/01/2022;44
ZAA;18/01/2022;127
ZAA;19/01/2022;43
ZAA;20/01/2022;36
ZAA;21/01/2022;78
ZAA;22/01/2022;146
ZAA;23/01/2022;124
ZAA;24/01/2022;117
ZAA;25/01/2022;115
ZAA;26/01/2022;189
ZAA;27/01/2022;262
ZAA;28/01/2022;238
ZAA;29/01/2022;254
ZAA;30/01/2022;196
ZAA;31/01/2022;211
ZAA;01/02/2022;53
ZAA;02/02/2022;7
